Feature Added,Improvement Observed
Packing Validation,"Feasibility rate 0.0 -> 1.0, avg score improved by 10.95%, runtime increased by 126.55%"
Strong Penalty,"Feasibility rate unchanged, score stability improved by 21.79%, avg unpacked boxes 0.0 -> 0.0"
Adaptive Decoding + Route Repair,"Avg distance improved by 10.10%, Minimum fill rate improved by 9.77%, Route fill std improved by 31.24%, Tiny route count 0.0 -> 0.0, Overflow route count 0.0 -> 0.2, Merged route count 0.0 -> 0.0"
