Feature Added,Improvement Observed
Packing Validation,"Feasibility rate 0.0 -> 0.913, avg score improved by 1.37%, runtime increased by 327.25%"
Strong Penalty,"Feasibility rate improved by 9.49%, score stability improved by 69.11%, avg unpacked boxes improved by 100.00%"
Adaptive Decoding + Route Repair,"Avg distance increased by 1.51%, Minimum fill rate improved by 7.39%, Route fill std improved by 10.22%, Tiny route count 0.0 -> 0.0, Overflow route count 0.0 -> 0.6, Merged route count 0.0 -> 0.0"
