gen,best_score
1,47318.337363706174
2,45298.6204232468
3,45298.6204232468
4,45298.6204232468
5,45298.6204232468
6,45298.6204232468
7,43920.60839977133
8,43920.60839977133
9,42910.391517502845
10,42910.391517502845
11,42284.967958707435
12,41813.580960961604
13,41306.61834152268
14,41244.26285621949
15,41029.018574322625
16,40581.40031149377
17,40560.11377464455
18,40508.57584630211
19,39339.73018241044
20,39127.87390480596
21,38970.705194066504
22,38601.47070510447
23,38601.47070510447
24,38547.47766412997
25,38291.57920609924
26,38291.57920609924
27,38029.42538967584
28,38029.42538967584
29,37819.158626575125
30,37062.343078430065
31,37062.343078430065
32,37062.343078430065
33,37062.343078430065
34,37062.343078430065
35,36834.85094289402
36,36236.18477401548
37,36236.18477401548
38,36236.18477401548
39,35673.59279673402
40,34398.58852281761
41,34398.58852281761
42,34398.58852281761
43,34398.58852281761
44,33686.75965640324
45,33686.75965640324
46,33686.75965640324
47,33251.04440267271
48,32986.375081411665
49,32729.57583976561
50,32624.30392572964
51,32193.865804127312
52,32193.865804127312
53,31957.367352368048
54,31629.625083710886
55,31629.625083710886
56,31629.625083710886
57,31629.625083710886
58,31386.799041736005
59,31386.799041736005
60,31183.626082065137
61,31183.626082065137
62,31178.591340327243
63,31067.938652292196
64,30974.824116094595
65,30291.519724018763
66,30291.519724018763
67,30291.519724018763
68,30291.519724018763
69,30291.519724018763
70,30128.24049863006
71,30128.24049863006
72,30116.61430153171
73,30116.61430153171
74,29989.534706366518
75,29936.238711995586
76,29389.047513220612
77,29389.047513220612
78,29389.047513220612
79,29389.047513220612
80,29081.810292954528
81,29081.810292954528
82,28905.949791955223
83,28905.949791955223
84,28905.949791955223
85,28890.296594446212
86,28890.296594446212
87,28890.296594446212
88,28563.609822850078
89,28563.609822850078
90,28436.185740761055
91,28436.185740761055
92,28436.185740761055
93,28428.932536184373
94,28428.932536184373
95,28428.932536184373
96,28311.071887645205
97,28311.071887645205
98,28311.071887645205
99,28245.72703156688
100,28184.321783268962
101,28120.61317845103
102,28120.61317845103
103,28120.61317845103
104,28032.75804239848
105,28004.246335031097
106,28004.246335031097
107,27450.207759540903
108,27450.207759540903
109,27450.207759540903
110,27450.207759540903
111,27450.207759540903
112,27450.207759540903
113,27450.207759540903
114,27450.207759540903
115,27450.207759540903
116,27450.207759540903
117,27410.2748062084
118,27168.961485315172
119,27168.961485315172
120,27168.961485315172
121,27022.051438667717
122,27022.051438667717
123,26917.797593196945
124,26872.14670073353
125,26872.14670073353
126,26872.14670073353
127,26593.916178410367
128,26593.916178410367
129,26593.916178410367
130,26257.588049932016
131,26257.588049932016
132,26257.588049932016
133,26257.588049932016
134,26257.588049932016
135,26257.588049932016
136,26257.588049932016
137,26257.588049932016
138,26257.588049932016
139,26257.588049932016
140,26257.588049932016
141,26257.588049932016
142,26257.588049932016
143,26240.39968815263
144,26240.39968815263
145,26095.74687305416
146,26031.64322171973
147,26031.64322171973
148,25708.9157529864
149,25708.9157529864
150,25708.9157529864
151,25708.9157529864
152,25629.880971421568
153,25629.880971421568
154,25629.880971421568
155,25629.880971421568
156,25629.880971421568
157,25492.842754154055
158,25492.842754154055
159,25492.842754154055
160,25492.842754154055
161,25467.77025864967
162,25467.77025864967
163,25467.77025864967
164,25449.96043999256
165,25219.973144713847
166,25219.973144713847
167,25177.719679932598
168,25177.719679932598
169,25153.742808618885
170,25050.81533820981
171,24883.4061257653
172,24883.4061257653
173,24883.4061257653
174,24736.773299033273
175,24736.773299033273
176,24735.470186985982
177,24614.000292209414
178,24341.42875693328
179,24341.42875693328
180,24341.42875693328
181,24341.42875693328
182,24306.552049160888
183,24306.552049160888
184,24258.2671069623
185,24258.2671069623
186,24258.2671069623
187,24258.2671069623
188,24244.17143563042
189,24148.156013132855
190,24148.156013132855
191,24148.156013132855
192,24138.108015770078
193,24138.108015770078
194,23793.755928897554
195,23793.755928897554
196,23793.755928897554
197,23793.755928897554
198,23793.755928897554
199,23793.755928897554
200,23688.58478349011
