gen,best_score
1,48744.86904991321
2,48083.64040754855
3,47491.220842392606
4,47245.848227612885
5,46945.19159979597
6,46302.249433013945
7,44779.190386696646
8,44052.02321817614
9,44052.02321817614
10,43289.132835179924
11,43289.132835179924
12,42852.29619273248
13,41456.80858204407
14,41456.80858204407
15,41204.355356331274
16,40881.66829933756
17,40439.32445008121
18,39572.378164081565
19,39572.378164081565
20,39296.59104799472
21,39296.59104799472
22,39296.59104799472
23,39124.79158179271
24,39010.53956913364
25,37956.14553553719
26,37956.14553553719
27,37956.14553553719
28,37956.14553553719
29,37815.33165148754
30,37592.19329176431
31,37592.19329176431
32,37509.05858328566
33,37509.05858328566
34,37327.07785147903
35,36756.04926722837
36,36631.503860096105
37,36273.59759784526
38,36152.689470612444
39,36152.689470612444
40,36152.689470612444
41,36152.689470612444
42,36015.051874526085
43,35760.8457213056
44,35760.8457213056
45,35605.73548962811
46,35605.73548962811
47,35078.519906288835
48,35078.519906288835
49,34991.766654035695
50,34991.766654035695
51,34991.766654035695
52,34731.94259556854
53,34731.94259556854
54,34672.73779094092
55,34557.88351225305
56,34557.88351225305
57,34350.32975042358
58,34350.32975042358
59,34350.32975042358
60,34350.32975042358
61,34350.32975042358
62,33979.11855946353
63,33979.11855946353
64,33805.58075661347
65,33805.58075661347
66,33426.61065826895
67,33426.61065826895
68,33278.405865828856
69,33278.405865828856
70,33278.405865828856
71,33204.43649895011
72,33031.5397149561
73,32826.67071310075
74,32731.333863211694
75,32731.333863211694
76,32505.027172883383
77,32300.158171028037
78,31671.4928318408
79,31447.76016389553
80,31447.76016389553
81,30903.89303425596
82,30903.89303425596
83,30376.290696054464
84,30376.290696054464
85,30376.290696054464
86,30345.71323633135
87,30345.71323633135
88,30331.502710971017
89,29982.003432792044
90,29807.510056499275
91,29807.510056499275
92,29617.702991049373
93,29287.37603468616
94,29287.37603468616
95,29112.88265839339
96,29112.88265839339
97,29010.270769414463
98,29010.270769414463
99,28951.688729659974
100,28609.984067799855
101,28609.984067799855
102,28609.984067799855
103,28361.74332599689
104,28361.74332599689
105,28361.74332599689
106,28007.411007676907
107,28007.411007676907
108,28007.411007676907
109,27964.848853712523
110,27678.507090075705
111,27678.507090075705
112,27530.676106384257
113,27530.676106384257
114,27530.676106384257
115,27530.676106384257
116,27324.177027481815
117,27324.177027481815
118,27324.177027481815
119,26995.206709280297
120,26772.56503966656
121,26772.56503966656
122,26676.002862499045
123,26676.002862499045
124,26478.96020170684
125,26478.96020170684
126,26478.96020170684
127,26433.33728107555
128,26335.77092551721
129,26306.132378677292
130,26306.132378677292
131,26296.31151134031
132,26296.31151134031
133,26065.232749071773
134,26065.232749071773
135,26065.232749071773
136,26065.232749071773
137,26065.232749071773
138,26065.20480539054
139,25656.45029572181
140,25656.45029572181
141,25656.45029572181
142,25656.45029572181
143,25656.45029572181
144,25656.45029572181
145,25517.659394684524
146,25517.659394684524
147,25468.80307566324
148,25167.065382366174
149,25167.065382366174
150,25167.065382366174
151,25167.065382366174
152,25167.065382366174
153,24873.08236272554
154,24873.08236272554
155,24873.08236272554
156,24808.320555803577
157,24808.320555803577
158,24808.320555803577
159,24766.906143346612
160,24766.906143346612
161,24616.27414402775
162,24616.27414402775
163,24616.27414402775
164,24616.27414402775
165,24586.245847928774
166,24586.245847928774
167,24586.245847928774
168,24586.245847928774
169,24450.23042221944
170,24450.23042221944
171,24136.817179692192
172,24136.817179692192
173,24136.817179692192
174,24136.817179692192
175,24062.42992674636
176,24057.789038957053
177,24057.789038957053
178,24057.789038957053
179,23842.635295308373
180,23842.635295308373
181,23842.635295308373
182,23842.635295308373
183,23785.89148194275
184,23742.84139191543
185,23742.84139191543
186,23710.793268037927
187,23597.63789087475
188,23597.63789087475
189,23597.63789087475
190,23546.413059989256
191,23546.413059989256
192,23546.413059989256
193,23415.54013168897
194,23415.54013168897
195,23406.936334277583
196,23406.936334277583
197,23161.631534478645
198,23158.71731452353
199,23086.854338371286
200,22993.010820840867
