dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3000,311608.5142226839,311108.5142226839,145.544518300012,3.4200085792690516e-05,22,5,0.8148148148148148,1873,1866,0.09822360662022109,0.09822360662022105,0.0794424894450875,0.11826451480637963,0.03882202536129213,0.010417833026124625,7,27,0.09822360662022105,0.0794424894450875,0.11826451480637963,69.37037037037037,64,70,69.37037037037037,64,70,27.77777777777778,23,32,0,0,0,,,,,,,,
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3001,310948.7438369137,310248.7438369137,153.79957719999948,0.0012896999542135745,21,7,0.75,1873,1865,0.0944383640174822,0.09443836401748218,0.007504381717831791,0.11853468991805846,0.11103030820022668,0.020084467670924106,8,28,0.09443836401748218,0.007504381717831791,0.11853468991805846,66.89285714285714,8,70,66.89285714285714,8,70,26.785714285714285,5,34,0,0,0,,,,,,,,
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3002,306221.4334895757,306121.4334895757,155.43163229999482,0.002737700124271214,26,1,0.9629629629629629,1873,1871,0.09895027574724562,0.09895027574724562,0.07913590768022839,0.13073468105119473,0.05159877337096634,0.010658733973431202,2,27,0.09895027574724562,0.07913590768022839,0.13073468105119473,69.37037037037037,67,70,69.37037037037037,67,70,27.77777777777778,23,32,0,0,0,,,,,,,,
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3003,318300.58338614396,318100.58338614396,150.34991099999752,0.00680080009624362,25,2,0.9259259259259259,1873,1871,0.0990681244427457,0.0990681244427457,0.07862360383455715,0.11725535253009545,0.0386317486955383,0.010117201123080411,2,27,0.0990681244427457,0.07862360383455715,0.11725535253009545,69.37037037037037,68,70,69.37037037037037,68,70,27.77777777777778,23,33,0,0,0,,,,,,,,
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3004,313895.07594643673,313795.07594643673,153.53544330000295,0.002766199904726818,27,1,0.9642857142857143,1873,1871,0.09537655228508247,0.09537655228508247,0.010476344221559492,0.11991366018963072,0.10943731596807123,0.01921750662839127,2,28,0.09537655228508247,0.010476344221559492,0.11991366018963072,66.89285714285714,3,70,66.89285714285714,3,70,26.785714285714285,1,36,0,0,0,,,,,,,,
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3005,309838.678597271,309338.678597271,158.88423100000364,0.0024574000271968544,23,5,0.8214285714285714,1873,1862,0.09414577314132677,0.09414577314132677,0.007176559040031483,0.11665995282954353,0.10948339378951205,0.01948452212434944,11,28,0.09414577314132677,0.007176559040031483,0.11665995282954353,66.89285714285714,5,70,66.89285714285714,5,70,26.785714285714285,2,33,0,0,0,,,,,,,,
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3007,304939.41634678486,304639.41634678486,149.7187913999951,0.0009596000600140542,25,3,0.8928571428571429,1873,1869,0.09529723748317477,0.09529723748317477,0.011717291862528702,0.12292294984767621,0.1112056579851475,0.01849258118115107,4,28,0.09529723748317477,0.011717291862528702,0.12292294984767621,66.89285714285714,8,70,66.89285714285714,8,70,26.785714285714285,4,33,0,0,0,,,,,,,,
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3008,307484.92003490054,306884.92003490054,153.02284409999265,0.001350899983663112,22,6,0.7857142857142857,1873,1862,0.09390660011956116,0.09390660011956112,0.024196170737775618,0.11763029404764544,0.09343412330986982,0.01654052421928797,11,28,0.09390660011956112,0.024196170737775618,0.11763029404764544,66.89285714285714,11,70,66.89285714285714,11,70,26.785714285714285,4,33,0,0,0,,,,,,,,
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3006,312417.84054443694,312117.84054443694,175.0359790000075,0.0017541000270284712,24,3,0.8888888888888888,1873,1869,0.09858521988126856,0.09858521988126857,0.07657880871668946,0.1246138148069027,0.048035006090213245,0.010872030784065533,4,27,0.09858521988126857,0.07657880871668946,0.1246138148069027,69.37037037037037,68,70,69.37037037037037,68,70,27.77777777777778,23,32,0,0,0,,,,,,,,
XML750_1111_01_merged_with_boxes_norm,XML750_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1111_01_merged_with_boxes_norm.json,750,1111,baseline_b,3009,313660.35031166405,312860.35031166405,166.29954810001072,0.004938300000503659,20,8,0.7142857142857143,1873,1859,0.09379457650697698,0.09379457650697698,0.004438464346426003,0.11910993032575602,0.11467146597933002,0.020109107723322805,14,28,0.09379457650697698,0.004438464346426003,0.11910993032575602,66.89285714285714,3,70,66.89285714285714,3,70,26.785714285714285,1,35,0,0,0,,,,,,,,
