dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3000,78637.07123545649,78432.61377536907,91.94830369998817,3.9000005926936865e-06,9,0,1.0,597,597,0.09708143171405158,0.09708143171405158,0.06969081934694853,0.10997816114476952,0.040287341797820994,0.011636060686751831,0,9,0.09708143171405158,0.06969081934694853,0.10997816114476952,66.33333333333333,43,70,66.33333333333333,43,70,27.77777777777778,16,31,0,0,0,46.6666666666667,70,box_threshold,,3,"[9, 9, 9]","[0.09708143171405158, 0.0960884566450689, 0.09641783778981533]","[78432.61377536907, 81839.90635906615, 82662.1505681137]"
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3001,78801.25329349308,78593.20617701233,91.2869156000088,6.500020390376449e-06,9,0,1.0,597,597,0.0970814317140516,0.0970814317140516,0.06637936159134451,0.13524105773806935,0.06886169614672484,0.018415884375860832,0,9,0.0970814317140516,0.06637936159134451,0.13524105773806935,66.33333333333333,43,70,66.33333333333333,43,70,27.77777777777778,17,32,0,0,0,46.6666666666667,70,box_threshold,,4,"[9, 9, 9, 10]","[0.0970814317140516, 0.09708143171405159, 0.09708143171405158, 0.08684578854134295]","[78593.20617701233, 81345.74156983972, 83073.4508605945, 83211.72281181521]"
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3002,78048.51668698422,77813.24555090698,94.14451809998718,3.4999975468963385e-06,9,0,1.0,597,597,0.09708143171405159,0.09708143171405159,0.07274797948327277,0.11952397969608419,0.04677600021281142,0.013162080578484617,0,9,0.09708143171405159,0.07274797948327277,0.11952397969608419,66.33333333333333,40,70,66.33333333333333,40,70,27.77777777777778,17,31,0,0,0,52.6666666666667,70,box_threshold,,2,"[9, 9]","[0.09708143171405159, 0.09674230077095868]","[77813.24555090698, 79747.27011144152]"
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3003,77103.129575367,76918.87672734988,103.20831489999546,3.700028173625469e-06,9,0,1.0,597,597,0.09708143171405159,0.09708143171405159,0.07024798662609207,0.10905645730860862,0.038808470682516555,0.011110829586900534,0,9,0.09708143171405159,0.07024798662609207,0.10905645730860862,66.33333333333333,45,70,66.33333333333333,45,70,27.77777777777778,17,31,0,0,0,42.6666666666667,70,box_threshold,,3,"[8, 9, 9]","[0.10606405711541736, 0.09708143171405159, 0.09674716118171461]","[81527.97801846257, 76918.87672734988, 81929.47475672245]"
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3007,84061.3261895686,83875.09850100266,82.5698424000002,4.3000036384910345e-06,9,0,1.0,597,597,0.09708143171405156,0.09708143171405156,0.07287845361659559,0.12720021567952708,0.05432176206293149,0.015032231538650485,0,9,0.09708143171405156,0.07287845361659559,0.12720021567952708,66.33333333333333,45,70,66.33333333333333,45,70,27.77777777777778,20,32,0,0,0,42.6666666666667,70,box_threshold,,2,"[9, 9]","[0.09708143171405156, 0.09606636836704868]","[83875.09850100266, 87301.09880258777]"
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3006,82786.65025939922,82550.04724229433,94.06370870000683,4.100031219422817e-06,9,0,1.0,597,597,0.09708143171405158,0.09708143171405158,0.06270100867311387,0.12089239349612575,0.05819138482301188,0.01492451175111976,0,9,0.09708143171405158,0.06270100867311387,0.12089239349612575,66.33333333333333,40,70,66.33333333333333,40,70,27.77777777777778,17,33,0,0,0,52.6666666666667,70,box_threshold,,3,"[9, 9, 10]","[0.09708143171405158, 0.09622863297375253, 0.08685969283159489]","[82550.04724229433, 85914.18498102172, 86434.82977427529]"
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3004,79293.84487553885,79077.07388286994,114.2644923000189,3.899942385032773e-06,9,0,1.0,597,597,0.0970814317140516,0.0970814317140516,0.06370338033094158,0.12102106941533027,0.05731768908438868,0.017288818583256947,0,9,0.0970814317140516,0.06370338033094158,0.12102106941533027,66.33333333333333,42,70,66.33333333333333,42,70,27.77777777777778,19,31,0,0,0,48.6666666666667,70,box_threshold,,3,"[8, 9, 9]","[0.10565186573134419, 0.0970814317140516, 0.09585625618463219]","[81126.32139340142, 79077.07388286994, 82183.22380747022]"
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3008,82576.0076555954,82378.83057599331,90.3674073999864,4.0000013541430235e-06,9,0,1.0,597,597,0.09708143171405158,0.09708143171405158,0.0655528851723141,0.12532343900715354,0.05977055383483944,0.0187777117141978,0,9,0.09708143171405158,0.0655528851723141,0.12532343900715354,66.33333333333333,44,70,66.33333333333333,44,70,27.77777777777778,19,33,0,0,0,44.6666666666667,70,box_threshold,,3,"[8, 9, 9]","[0.107042042811187, 0.09708143171405158, 0.09708143171405158]","[84807.60959145924, 82378.83057599331, 83337.16853053386]"
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3005,79413.86243462938,79208.84695670802,109.02880420000292,4.0000013541430235e-06,9,0,1.0,597,597,0.09708143171405159,0.09708143171405159,0.07089591625518155,0.11683430217781668,0.04593838592263513,0.01157044421873653,0,9,0.09708143171405159,0.07089591625518155,0.11683430217781668,66.33333333333333,43,70,66.33333333333333,43,70,27.77777777777778,16,33,0,0,0,46.6666666666667,70,box_threshold,,3,"[9, 9, 9]","[0.09708143171405159, 0.09708143171405159, 0.09656453920474914]","[79208.84695670802, 80713.31987179912, 82219.61624470266]"
XML250_1142_01_merged_with_boxes_norm,XML250_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1142_01_merged_with_boxes_norm.json,250,1142,proposed_no_relocation,3009,77935.75837068164,77730.1784858524,97.58990210000775,3.700028173625469e-06,9,0,1.0,597,597,0.09708143171405158,0.09708143171405158,0.06286265543918311,0.11197281302232014,0.049110157583137026,0.01385960849472614,0,9,0.09708143171405158,0.06286265543918311,0.11197281302232014,66.33333333333333,43,70,66.33333333333333,43,70,27.77777777777778,18,32,0,0,0,46.6666666666667,70,box_threshold,,4,"[8, 9, 9, 9]","[0.10822612543171584, 0.09708143171405158, 0.09459358117445466, 0.0962953813981359]","[81768.62637530133, 77730.1784858524, 80332.8059571136, 82092.08463543211]"
