Method,Avg Score,Avg Distance,Avg Runtime,Feasibility Rate,Std Dev
Baseline A,282816.58,282816.58,65.71,0.0,5516.58
Baseline B,283674.59,283334.59,179.63,0.869,3363.52
Baseline C,309920.6,309920.6,128.27,1.0,3917.82
Proposed Model,312972.13,312182.8,232.49,1.0,4141.06
