dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3000,26627.09481230149,26627.09481230149,49.005268100008834,0.002660700003616512,4,0,1.0,252,252,0.08771813800226878,0.08771813800226878,0.05239148081626475,0.11457641045358817,0.06218492963732342,0.02239282026807937,0,4,0.08771813800226878,0.05239148081626475,0.11457641045358817,63.0,44,70,63.0,44,70,25.0,16,28,0,0,0,,,,,,,,
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3001,23288.285304892386,23288.285304892386,49.204464899987215,2.6999623514711857e-06,4,0,1.0,252,252,0.08771813800226878,0.08771813800226877,0.06295571755238787,0.107420926441558,0.04446520888917013,0.016473398242349,0,4,0.08771813800226877,0.06295571755238787,0.107420926441558,63.0,44,70,63.0,44,70,25.0,16,29,0,0,0,,,,,,,,
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3002,25743.2536531018,25743.2536531018,52.21125409999513,0.001989100011996925,4,0,1.0,252,252,0.08771813800226877,0.08771813800226877,0.06459905026735346,0.10240184024819335,0.037802789980839885,0.01413332967607217,0,4,0.08771813800226877,0.06459905026735346,0.10240184024819335,63.0,45,70,63.0,45,70,25.0,16,32,0,0,0,,,,,,,,
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3003,22155.054936085682,22155.054936085682,53.52763200001209,0.002133000030880794,4,0,1.0,252,252,0.08771813800226878,0.08771813800226878,0.058605540582637276,0.1042618482904117,0.04565630770777442,0.017948615432704925,0,4,0.08771813800226878,0.058605540582637276,0.1042618482904117,63.0,43,70,63.0,43,70,25.0,16,29,0,0,0,,,,,,,,
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3004,23814.124030890354,23814.124030890354,48.65882630000124,0.004591099976096302,4,0,1.0,252,252,0.0877181380022688,0.08771813800226878,0.06282504803738596,0.1116342975614301,0.04880924952404414,0.017419407349361784,0,4,0.08771813800226878,0.06282504803738596,0.1116342975614301,63.0,44,70,63.0,44,70,25.0,19,28,0,0,0,,,,,,,,
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3005,24005.755925743135,24005.755925743135,52.2790379000071,0.0016818000003695488,4,0,1.0,252,252,0.08771813800226881,0.0877181380022688,0.05397956558704947,0.10926856689363298,0.05528900130658351,0.021078676008256372,0,4,0.0877181380022688,0.05397956558704947,0.10926856689363298,63.0,43,70,63.0,43,70,25.0,16,30,0,0,0,,,,,,,,
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3006,23417.264559845964,23417.264559845964,53.54074550000951,0.002830899989930913,4,0,1.0,252,252,0.0877181380022688,0.0877181380022688,0.06177781057496236,0.10693594052699652,0.045158129952034165,0.016469181748766385,0,4,0.0877181380022688,0.06177781057496236,0.10693594052699652,63.0,45,70,63.0,45,70,25.0,18,30,0,0,0,,,,,,,,
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3009,25220.9567441461,25220.9567441461,51.011378800001694,0.004750899999635294,4,0,1.0,252,252,0.0877181380022688,0.0877181380022688,0.07512593367424196,0.10289228997477269,0.02776635630053073,0.010341213601654627,0,4,0.0877181380022688,0.07512593367424196,0.10289228997477269,63.0,46,70,63.0,46,70,25.0,19,31,0,0,0,,,,,,,,
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3008,24399.8449592051,24399.8449592051,52.5078182000143,0.0022848000226076692,4,0,1.0,252,252,0.08771813800226877,0.08771813800226878,0.06449399014849669,0.10947481683561419,0.0449808266871175,0.016299606959128105,0,4,0.08771813800226878,0.06449399014849669,0.10947481683561419,63.0,47,69,63.0,47,70,25.0,20,28,0,0,0,,,,,,,,
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML100_1111_01_merged_with_boxes_norm.json,100,1111,baseline_b,3007,22702.57138831515,22702.57138831515,56.203097899997374,0.002383800019742921,4,0,1.0,252,252,0.08771813800226878,0.08771813800226878,0.051001442808445284,0.10773730797573935,0.05673586516729407,0.022348315540028734,0,4,0.08771813800226878,0.051001442808445284,0.10773730797573935,63.0,44,70,63.0,44,70,25.0,18,29,0,0,0,,,,,,,,
