Feature Added,Improvement Observed
Packing Validation,"Feasibility rate 0.0 -> 0.894, avg score increased by 1.14%, runtime increased by 237.05%"
Strong Penalty,"Feasibility rate improved by 11.80%, score stability improved by 11.62%, avg unpacked boxes improved by 100.00%"
Adaptive Decoding + Route Repair,"Avg distance increased by 2.40%, Minimum fill rate improved by 2225.39%, Route fill std improved by 21.61%, Tiny route count 0.0 -> 0.0, Overflow route count 0.0 -> 0.0, Merged route count 0.0 -> 0.0"
