Method,Avg Score,Avg Distance,Avg Runtime,Feasibility Rate,Std Dev
Baseline A,98472.4,98472.4,17.64,0.0,3073.14
Baseline B,97257.7,97117.7,77.74,0.883,2023.12
Baseline C,104580.34,104580.34,59.87,1.0,1327.79
Proposed Model,115707.28,115266.31,128.06,1.0,6043.72
