dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3000,97587.9130805207,97587.9130805207,12.863743499998236,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,7,70,64.33333333333333,7,70,25.0,2,30,0,0,0,,,,,,,,
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3001,99991.00304914826,99991.00304914826,14.367502799985232,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,5,70,64.33333333333333,5,70,25.0,2,32,0,0,0,,,,,,,,
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3002,94431.4972251295,94431.4972251295,15.655948900006479,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,13,70,64.33333333333333,13,70,25.0,5,29,0,0,0,,,,,,,,
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3003,98379.5742428251,98379.5742428251,16.077571100002388,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,12,70,64.33333333333333,12,70,25.0,5,30,0,0,0,,,,,,,,
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3004,95744.5522043032,95744.5522043032,17.772117600019556,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,12,70,64.33333333333333,12,70,25.0,6,31,0,0,0,,,,,,,,
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3005,101059.09849079393,101059.09849079393,19.410764400003245,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,9,70,64.33333333333333,9,70,25.0,3,31,0,0,0,,,,,,,,
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3006,102004.69121898363,102004.69121898363,19.806056899979012,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,8,70,64.33333333333333,8,70,25.0,3,32,0,0,0,,,,,,,,
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3007,102527.29345341251,102527.29345341251,20.20440940000117,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,10,70,64.33333333333333,10,70,25.0,3,31,0,0,0,,,,,,,,
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3008,93785.02643144933,93785.02643144933,20.124870100000408,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,14,70,64.33333333333333,14,70,25.0,5,31,0,0,0,,,,,,,,
XML300_1111_01_merged_with_boxes_norm,XML300_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML300_1111_01_merged_with_boxes_norm.json,300,1111,baseline_a,3009,99213.39754978516,99213.39754978516,20.106205000018235,0.0,0,0,0.0,772,0,0.0,0.0,0.0,0.0,0.0,0.0,772,12,0.0,0.0,0.0,64.33333333333333,10,70,64.33333333333333,10,70,25.0,3,30,0,0,0,,,,,,,,
