Feature Added,Improvement Observed
Packing Validation,"Feasibility rate 0.0 -> 0.832, avg score increased by 0.49%, runtime increased by 188.78%"
Strong Penalty,"Feasibility rate improved by 20.22%, score stability increased by 98.76%, avg unpacked boxes improved by 100.00%"
Adaptive Decoding + Route Repair,"Avg distance increased by 0.73%, Minimum fill rate decreased by 8.21%, Route fill std improved by 15.41%, Tiny route count 0.0 -> 0.1, Overflow route count 0.0 -> 0.2, Merged route count 0.0 -> 0.0"
