Feature Added,Improvement Observed
Packing Validation,"Feasibility rate 0.0 -> 0.865, avg score improved by 0.01%, runtime increased by 213.82%"
Strong Penalty,"Feasibility rate improved by 15.61%, score stability increased by 38.50%, avg unpacked boxes improved by 100.00%"
Adaptive Decoding + Route Repair,"Avg distance increased by 1.52%, Minimum fill rate improved by 1841.89%, Route fill std improved by 6.47%, Tiny route count 0.0 -> 0.0, Overflow route count 0.0 -> 0.0, Merged route count 0.0 -> 0.0"
