gen,best_score
1,48703.963052229126
2,48615.08255461424
3,47638.06092568385
4,46602.46022609374
5,44958.76972134017
6,44958.76972134017
7,44958.76972134017
8,44624.607847572064
9,42953.82653880583
10,42953.82653880583
11,42953.82653880583
12,42953.82653880583
13,42953.82653880583
14,42743.11638818493
15,41643.78710267914
16,41643.78710267914
17,41569.410064292955
18,40837.62069897035
19,40837.62069897035
20,39878.628093136365
21,39446.09506480022
22,39446.09506480022
23,39217.46432188636
24,38420.9977838462
25,38420.9977838462
26,38392.39512485034
27,38108.380402500974
28,38108.380402500974
29,37913.47670945452
30,37913.47670945452
31,37913.47670945452
32,36848.61251140228
33,36848.61251140228
34,36702.65947645042
35,36320.092323292054
36,36320.092323292054
37,36289.45625312887
38,36289.45625312887
39,36072.70587080629
40,35950.57514633931
41,35261.20124389516
42,35261.20124389516
43,35139.30523339859
44,35016.104594767035
45,34765.45205628004
46,34765.45205628004
47,34765.45205628004
48,34734.88310978822
49,34734.88310978822
50,34509.03851426001
51,34509.03851426001
52,34352.05571510383
53,33955.72449740048
54,33955.72449740048
55,33955.72449740048
56,33955.72449740048
57,33908.30660894662
58,33872.83572383521
59,33618.959444752196
60,33618.959444752196
61,33618.959444752196
62,33198.214988999236
63,32650.287243246057
64,32650.287243246057
65,32650.287243246057
66,32650.287243246057
67,32650.287243246057
68,32580.525459787812
69,32580.525459787812
70,32580.525459787812
71,32514.615989798185
72,32416.03610425925
73,32289.960590076975
74,32289.960590076975
75,32289.960590076975
76,32280.25073488478
77,32211.011204671944
78,32083.43738051418
79,32083.43738051418
80,32083.43738051418
81,31855.272678563266
82,31855.272678563266
83,31855.272678563266
84,31855.272678563266
85,31851.712135151312
86,31790.18448627874
87,31790.18448627874
88,31303.089895322573
89,31303.089895322573
90,31303.089895322573
91,31265.418945726007
92,31265.418945726007
93,31052.99343475333
94,31052.99343475333
95,31052.99343475333
96,30893.03871004953
97,30893.03871004953
98,30893.03871004953
99,30893.03871004953
100,30777.098255409248
101,30777.098255409248
102,30694.099664875244
103,30694.099664875244
104,30694.099664875244
105,30672.27455146445
106,30624.45051590858
107,30310.939720108036
108,30310.939720108036
109,30310.939720108036
110,30310.939720108036
111,29872.268538855522
112,29872.268538855522
113,29872.268538855522
114,29872.268538855522
115,29306.929148264357
116,29306.929148264357
117,29306.929148264357
118,29306.929148264357
119,29306.929148264357
120,29261.127086016037
121,29261.127086016037
122,29261.127086016037
123,29002.684799431936
124,29002.684799431936
125,29002.684799431936
126,28911.59540751299
127,28911.59540751299
128,28911.59540751299
129,28875.445909067836
130,28875.445909067836
131,28875.445909067836
132,28875.445909067836
133,28543.277533255732
134,28543.277533255732
135,28543.277533255732
136,28543.277533255732
137,28543.277533255732
138,28543.277533255732
139,28543.277533255732
140,28543.277533255732
141,28528.208126879577
142,28502.167099732116
143,28289.67306809371
144,28289.67306809371
145,28236.038494813067
146,28102.660909106795
147,28047.942248906216
148,28032.603086818985
149,28018.55740563516
150,28018.55740563516
151,27831.78969346425
152,27784.551189390517
153,27784.551189390517
154,27784.551189390517
155,27784.551189390517
156,27784.551189390517
157,27784.551189390517
158,27784.551189390517
159,27154.103799999742
160,27154.103799999742
161,26899.48475201504
162,26899.48475201504
163,26810.030620340705
164,26810.030620340705
165,26810.030620340705
166,26810.030620340705
167,26810.030620340705
168,26810.030620340705
169,26810.030620340705
170,26810.030620340705
171,26810.030620340705
172,26039.583714190387
173,26039.583714190387
174,26039.583714190387
175,26039.583714190387
176,26039.583714190387
177,25918.850681970336
178,25918.850681970336
179,25918.850681970336
180,25882.203878050837
181,25882.203878050837
182,25882.203878050837
183,25882.203878050837
184,25882.203878050837
185,25882.203878050837
186,25724.06647456354
187,25721.63591966066
188,25687.419670644045
189,25687.419670644045
190,25639.829106161345
191,25639.829106161345
192,25639.829106161345
193,25639.659195868713
194,25639.659195868713
195,25441.069997360035
196,25441.069997360035
197,25441.069997360035
198,25441.069997360035
199,25441.069997360035
200,25408.00715813267
