gen,best_score
1,50096.67162920057
2,50061.55781928418
3,48123.0570229956
4,47454.41076322248
5,47036.01011591968
6,45314.9671823541
7,44162.65782639026
8,44055.44751826065
9,43462.30816490826
10,43462.30816490826
11,43062.01580775468
12,42873.60172885949
13,42762.07565331632
14,42762.07565331632
15,41617.038576839805
16,41233.11752535177
17,40889.08271689315
18,40836.15870320338
19,40781.34291530892
20,40259.07958254888
21,39808.31720111541
22,39015.52784471317
23,39015.52784471317
24,39015.52784471317
25,38517.086550092135
26,38137.19017382842
27,37833.65538904758
28,37366.25945687338
29,37211.507915931084
30,37211.507915931084
31,36583.67953564975
32,36138.21648692573
33,36138.21648692573
34,35450.037896385424
35,35450.037896385424
36,35450.037896385424
37,35450.037896385424
38,34771.276618848024
39,34332.45104847245
40,34332.45104847245
41,34332.45104847245
42,33505.41234426954
43,33505.41234426954
44,33505.41234426954
45,33505.41234426954
46,33441.33921103926
47,33248.52085043487
48,33004.72436009731
49,32251.600781193796
50,32205.68629295278
51,31849.20756352159
52,31138.06687061146
53,31138.06687061146
54,31138.06687061146
55,31138.06687061146
56,31138.06687061146
57,31138.06687061146
58,31138.06687061146
59,31138.06687061146
60,31138.06687061146
61,30737.43438949494
62,30737.43438949494
63,30661.25781066762
64,30661.25781066762
65,30590.093837284865
66,30299.580147502886
67,30299.580147502886
68,30299.580147502886
69,29924.609505810626
70,29924.609505810626
71,29602.154565168137
72,29046.45388264337
73,29044.387719435894
74,28999.22742412528
75,28566.85993798043
76,28566.85993798043
77,28404.753603579735
78,28404.753603579735
79,28404.753603579735
80,28207.382237560192
81,28207.382237560192
82,28207.382237560192
83,28207.382237560192
84,28207.382237560192
85,28094.360603658497
86,28094.360603658497
87,28092.013830092757
88,28022.36962243403
89,27691.906319782578
90,27691.906319782578
91,27617.965926195786
92,27173.38778277461
93,27173.38778277461
94,27173.38778277461
95,27023.794243341956
96,26909.917467276315
97,26626.159907500452
98,26626.159907500452
99,26486.468403857827
100,26139.28531114823
101,26139.28531114823
102,25832.128701098
103,25832.128701098
104,25774.429912282514
105,25755.913103012026
106,25755.913103012026
107,25755.913103012026
108,25755.913103012026
109,25696.840107168515
110,25314.127316544662
111,25314.127316544662
112,25314.127316544662
113,25255.05432070115
114,25041.800675580183
115,25041.800675580183
116,24820.52672244962
117,24820.52672244962
118,24820.52672244962
119,24820.52672244962
120,24820.52672244962
121,24368.936810018095
122,24368.936810018095
123,24368.936810018095
124,23987.231262093977
125,23987.231262093977
126,23987.231262093977
127,23987.231262093977
128,23987.231262093977
129,23795.84369692825
130,23795.84369692825
131,23795.84369692825
132,23795.84369692825
133,23698.543669557526
134,23594.67146678943
135,23594.67146678943
136,23594.67146678943
137,23589.94698739796
138,23577.89990822813
139,23577.89990822813
140,23160.270991395522
141,23112.0862546541
142,23112.0862546541
143,23062.9709640248
144,23062.9709640248
145,22998.8818290605
146,22998.8818290605
147,22998.8818290605
148,22998.8818290605
149,22873.81865542461
150,22781.339975810868
151,22781.339975810868
152,22781.339975810868
153,22781.339975810868
154,22781.339975810868
155,22781.339975810868
156,22781.339975810868
157,22781.339975810868
158,22781.339975810868
159,22781.339975810868
160,22781.339975810868
161,22719.614110815128
162,22662.844626074064
163,22662.844626074064
164,22662.844626074064
165,22662.844626074064
166,22382.377627338657
167,22382.377627338657
168,22382.377627338657
169,22382.377627338657
170,22382.377627338657
171,22382.377627338657
172,22318.129570664194
173,22318.129570664194
174,22278.20572467805
175,22278.20572467805
176,22238.87253100439
177,22238.87253100439
178,22228.598998593447
179,22228.598998593447
180,22228.598998593447
181,22228.598998593447
182,22208.700874189297
183,22187.35967562066
184,22187.35967562066
185,22187.35967562066
186,22187.35967562066
187,22187.35967562066
188,22117.854825131908
189,22117.854825131908
190,22117.854825131908
191,22117.854825131908
192,22107.581292720966
193,22107.581292720966
194,22107.581292720966
195,22107.581292720966
196,22107.581292720966
197,22107.581292720966
198,22107.581292720966
199,22014.705047264146
200,21989.702469715055
