Feature Added,Improvement Observed
Packing Validation,"Feasibility rate 0.0 -> 0.883, avg score improved by 0.92%, runtime increased by 615.07%"
Strong Penalty,"Feasibility rate improved by 13.21%, score stability increased by 41.99%, avg unpacked boxes improved by 100.00%"
Adaptive Decoding + Route Repair,"Avg distance increased by 10.01%, Minimum fill rate improved by 408.40%, Route fill std improved by 55.97%, Tiny route count 0.0 -> 0.0, Overflow route count 0.0 -> 0.0, Merged route count 0.0 -> 0.0"
