dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3000,335509.75122689013,335030.61541304353,199.77916070003994,2.5099958293139935e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.07299036513628034,0.1329915297029472,0.06000116456666686,0.014546365633296659,0,28,0.10230412191868246,0.07299036513628034,0.1329915297029472,67.82142857142857,41,70,67.82142857142857,41,70,26.785714285714285,15,32,0,0,0,61.85714285714289,70,box_threshold,,2,"[27, 28]","[0.1035311118796417, 0.10230412191868246]","[343692.72381212533, 335030.61541304353]"
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3001,330822.8185935939,330145.31063466583,192.1872536999872,2.850010059773922e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.047535903717120215,0.1313102820430438,0.08377437832592358,0.015298722126426415,0,28,0.10230412191868246,0.047535903717120215,0.1313102820430438,67.82142857142857,36,70,67.82142857142857,36,70,26.785714285714285,13,35,1,0,0,65.28571428571433,70,box_threshold,,2,"[27, 28]","[0.10410260360870288, 0.10230412191868246]","[338578.1724257796, 330145.31063466583]"
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3003,339406.3211693041,338638.7526299608,179.20835110003827,3.3400196116417646e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.03810559354469197,0.12424245423326909,0.08613686068857712,0.014233097998318033,0,28,0.10230412191868246,0.03810559354469197,0.12424245423326909,67.82142857142857,27,70,67.82142857142857,27,70,26.785714285714285,9,33,1,0,0,83.28571428571433,70,box_threshold,,2,"[27, 28]","[0.10380581361197061, 0.10230412191868246]","[344420.95362564136, 338638.7526299608]"
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3002,328983.3219704944,328301.10579045134,215.17087299999548,1.6100064385682344e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.0503452972370091,0.13354800566846284,0.08320270843145375,0.017038490032396863,0,28,0.10230412191868246,0.0503452972370091,0.13354800566846284,67.82142857142857,38,70,67.82142857142857,38,70,26.785714285714285,15,35,1,0,0,66.21428571428575,70,box_threshold,,2,"[27, 28]","[0.10407311223314085, 0.10230412191868246]","[338360.47982377186, 328301.10579045134]"
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3005,328268.2853343708,327553.16896926187,185.17439200001536,1.5100056771188974e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.052182614362842675,0.12423814937506661,0.07205553501222393,0.01492951161379912,0,28,0.10230412191868246,0.052182614362842675,0.12423814937506661,67.82142857142857,33,70,67.82142857142857,33,70,26.785714285714285,12,31,1,0,0,72.92857142857147,70,box_threshold,,2,"[27, 28]","[0.10408714147819548, 0.10230412191868246]","[337552.74768146855, 327553.16896926187]"
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3008,328876.6689333622,328171.30858139216,177.9250348000205,2.809992292895913e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.0491193603985476,0.12664795595788167,0.07752859555933407,0.0143801381648476,0,28,0.10230412191868246,0.0491193603985476,0.12664795595788167,67.82142857142857,34,70,67.82142857142857,34,70,26.785714285714285,12,33,1,0,0,70.92857142857147,70,box_threshold,,2,"[27, 28]","[0.1030787764231755, 0.10230412191868246]","[338517.5794512546, 328171.30858139216]"
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3004,328480.4085289018,327810.5386119448,213.9134623000282,1.6400066670030355e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.05962722384193293,0.13355267948614305,0.07392545564421012,0.015248005568685049,0,28,0.10230412191868246,0.05962722384193293,0.13355267948614305,67.82142857142857,40,70,67.82142857142857,40,70,26.785714285714285,17,34,1,0,0,63.85714285714289,70,box_threshold,,2,"[27, 28]","[0.10393674785944071, 0.10230412191868246]","[338662.00647062383, 327810.5386119448]"
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3006,324583.9509224264,323854.95189395454,205.80968409997877,2.9600050766021013e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.050703886378025226,0.1301049701676535,0.07940108378962826,0.013891684811389733,0,28,0.10230412191868246,0.050703886378025226,0.1301049701676535,67.82142857142857,30,70,67.82142857142857,30,70,26.785714285714285,11,33,1,0,0,75.6428571428572,70,box_threshold,,2,"[27, 28]","[0.10358361656726102, 0.10230412191868246]","[334412.16836001247, 323854.95189395454]"
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3007,327010.4614546607,326271.2470616259,202.06561130000046,1.589988823980093e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.0419685300120791,0.12444369688790387,0.08247516687582476,0.01503354422943766,0,28,0.10230412191868246,0.0419685300120791,0.12444369688790387,67.82142857142857,29,70,67.82142857142857,29,70,26.785714285714285,11,31,1,0,0,77.6428571428572,70,box_threshold,,2,"[27, 28]","[0.10454689457050925, 0.10230412191868246]","[336632.1301701329, 326271.2470616259]"
XML750_1142_01_merged_with_boxes_norm,XML750_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML750_1142_01_merged_with_boxes_norm.json,750,1142,proposed_no_relocation,3009,327676.76232956565,327222.9579437001,213.41418530000374,1.3599870726466179e-05,28,0,1.0,1899,1899,0.10230412191868246,0.10230412191868246,0.06980308622799483,0.1208851619051763,0.05108207567718147,0.010053469454637072,0,28,0.10230412191868246,0.06980308622799483,0.1208851619051763,67.82142857142857,41,70,67.82142857142857,41,70,26.785714285714285,12,33,0,0,0,56.92857142857147,70,box_threshold,,2,"[27, 28]","[0.10434532879976587, 0.10230412191868246]","[335432.29669851466, 327222.9579437001]"
