Feature Added,Improvement Observed
Packing Validation,"Feasibility rate 0.0 -> 0.906, avg score improved by 0.53%, runtime increased by 427.47%"
Strong Penalty,"Feasibility rate improved by 10.43%, score stability improved by 31.15%, avg unpacked boxes improved by 100.00%"
Adaptive Decoding + Route Repair,"Avg distance increased by 4.35%, Minimum fill rate improved by 2686.74%, Route fill std improved by 57.37%, Tiny route count 0.0 -> 0.0, Overflow route count 0.0 -> 0.0, Merged route count 0.0 -> 0.0"
