gen,best_score
1,49894.44544439452
2,48756.36598599893
3,48140.872047904486
4,47203.103886792764
5,45878.82227898079
6,45569.76145647762
7,45066.823062682124
8,43676.66106916942
9,43676.66106916942
10,43008.59498076429
11,43008.59498076429
12,41515.50661578299
13,41050.15517371451
14,41050.15517371451
15,40921.87747231132
16,40723.42962239713
17,40723.42962239713
18,39930.551360190206
19,39930.551360190206
20,39725.44174089915
21,37654.52845029077
22,37654.52845029077
23,36643.6648483848
24,36605.58256641502
25,36200.10011535867
26,35962.13549894251
27,35962.13549894251
28,35962.13549894251
29,35611.960915877185
30,35611.960915877185
31,35611.960915877185
32,35611.960915877185
33,35024.391854601505
34,34706.43481491526
35,34706.43481491526
36,34221.960765978496
37,34221.960765978496
38,33834.98573225383
39,33221.91036187674
40,33197.06599570843
41,32626.911886254922
42,31830.14513781384
43,31830.14513781384
44,31830.14513781384
45,31249.57260372792
46,31249.57260372792
47,31231.674757970424
48,31231.674757970424
49,30683.416857767636
50,30683.416857767636
51,30608.696452636363
52,30310.78902636754
53,30310.78902636754
54,30310.78902636754
55,30097.821147074526
56,30097.821147074526
57,30097.821147074526
58,30056.78539063208
59,29832.596739341636
60,29711.52151667561
61,29486.56774747876
62,29486.56774747876
63,29486.56774747876
64,29486.56774747876
65,29163.58335097064
66,29019.23874199744
67,29019.23874199744
68,28559.3174099848
69,28559.3174099848
70,28559.3174099848
71,28496.573091495764
72,28496.573091495764
73,28336.258379408428
74,28173.81651637667
75,28173.81651637667
76,27997.750736357415
77,27891.58967110919
78,27891.58967110919
79,27891.58967110919
80,26730.055081117844
81,26730.055081117844
82,26404.30684596817
83,26404.30684596817
84,26404.30684596817
85,26247.32369113794
86,26247.32369113794
87,25951.588131793284
88,25951.588131793284
89,25951.588131793284
90,25750.682729203996
91,25410.679146236867
92,25410.679146236867
93,25410.679146236867
94,25259.823153890844
95,25259.823153890844
96,25259.823153890844
97,25259.823153890844
98,25259.823153890844
99,25259.823153890844
100,25259.823153890844
101,25055.691418832248
102,25055.691418832248
103,25055.691418832248
104,24630.615151926315
105,24630.615151926315
106,24630.615151926315
107,24630.615151926315
108,24630.615151926315
109,24630.615151926315
110,24630.615151926315
111,24630.615151926315
112,24630.615151926315
113,24630.615151926315
114,24526.05260897672
115,24380.487524874618
116,24380.487524874618
117,24380.487524874618
118,24135.724926282932
119,24135.724926282932
120,24073.006177404244
121,24073.006177404244
122,24073.006177404244
123,24073.006177404244
124,23969.523229781196
125,23969.523229781196
126,23876.06863430025
127,23876.06863430025
128,23853.44916706361
129,23853.44916706361
130,23587.065776556516
131,23587.065776556516
132,23587.065776556516
133,23587.065776556516
134,23587.065776556516
135,23396.193659104854
136,23396.193659104854
137,23396.193659104854
138,23396.193659104854
139,23237.043187979492
140,23237.043187979492
141,23237.043187979492
142,23096.264093712944
143,23096.264093712944
144,23084.883984060514
145,23084.883984060514
146,23084.883984060514
147,23084.883984060514
148,23045.137928907883
149,23045.137928907883
150,23003.689004988253
151,22984.417595513423
152,22984.417595513423
153,22955.471464492282
154,22854.70224366306
155,22854.70224366306
156,22854.70224366306
157,22676.14564581298
158,22463.519404135863
159,22463.519404135863
160,22463.519404135863
161,22463.519404135863
162,22391.29930116848
163,22391.29930116848
164,22391.29930116848
165,22391.29930116848
166,22364.58518007877
167,22364.58518007877
168,22364.58518007877
169,22350.963937570123
170,22350.963937570123
171,22350.963937570123
172,22242.70698538242
173,22211.329891413523
174,22211.329891413523
175,22155.437274634234
176,22038.918565318185
177,22038.918565318185
178,22038.918565318185
179,21964.016066089876
180,21957.52215032295
181,21957.52215032295
182,21957.52215032295
183,21757.456737120723
184,21757.456737120723
185,21757.456737120723
186,21757.456737120723
187,21742.301716085898
188,21742.301716085898
189,21702.11778572896
190,21702.11778572896
191,21547.180101190308
192,21253.41329506419
193,21253.41329506419
194,21253.41329506419
195,21253.41329506419
196,21253.41329506419
197,21076.563284614214
198,21076.563284614214
199,21062.96254568337
200,21062.96254568337
