gen,best_score
1,48768.93918441617
2,47413.11143409484
3,45977.09382068553
4,45363.23223777968
5,45027.151714671854
6,45027.151714671854
7,44512.84068121667
8,44512.84068121667
9,44512.84068121667
10,42791.13339462731
11,42427.16439415398
12,42427.16439415398
13,42376.11443609401
14,41326.54253906272
15,40760.521468491104
16,40760.521468491104
17,40028.05329576664
18,39725.88952727865
19,39725.88952727865
20,38879.9893027654
21,38879.9893027654
22,38879.9893027654
23,36663.112081225765
24,36663.112081225765
25,36663.112081225765
26,36663.112081225765
27,36663.112081225765
28,36454.17687047126
29,36454.17687047126
30,36332.335010943585
31,36332.335010943585
32,36144.18954015531
33,35927.41499924008
34,35803.57785818306
35,35803.57785818306
36,35803.57785818306
37,35545.24383640246
38,35322.801699819836
39,35155.8956543893
40,35155.8956543893
41,34972.50620574332
42,34738.69628760822
43,34738.69628760822
44,34738.69628760822
45,34582.32817547704
46,34224.58154567223
47,34224.58154567223
48,34224.58154567223
49,34187.608003996895
50,34010.08918565369
51,34004.30831434544
52,34004.30831434544
53,33772.84732007727
54,33772.84732007727
55,33772.84732007727
56,33758.550818179574
57,33708.97588923997
58,33551.84005395947
59,33493.912290106295
60,33342.53820098311
61,33243.97475884255
62,33122.60721886646
63,32871.50139489128
64,32389.643492854546
65,32389.643492854546
66,32389.643492854546
67,32389.643492854546
68,32059.267140601252
69,32059.267140601252
70,32059.267140601252
71,31316.411365721764
72,31316.411365721764
73,31316.411365721764
74,31269.85542948114
75,31269.85542948114
76,31072.348457858865
77,31072.348457858865
78,31072.348457858865
79,31072.348457858865
80,31072.348457858865
81,31050.140969028627
82,31050.140969028627
83,30573.653138993268
84,30573.653138993268
85,30273.485655142173
86,30273.485655142173
87,30273.485655142173
88,30273.485655142173
89,30028.876994816415
90,29654.98224908343
91,29654.98224908343
92,29654.98224908343
93,29520.885929529322
94,29520.885929529322
95,29252.182307678668
96,29252.182307678668
97,29237.019754875502
98,29218.212226388154
99,28897.886410250634
100,28897.886410250634
101,28696.509911903628
102,28696.509911903628
103,28696.509911903628
104,28696.509911903628
105,28308.933763525114
106,28260.806520940332
107,28004.963625454908
108,28004.963625454908
109,28004.963625454908
110,27840.674452829262
111,27840.674452829262
112,27737.097633662932
113,27737.097633662932
114,27448.722714746626
115,27448.722714746626
116,27323.63492516525
117,27323.63492516525
118,27323.63492516525
119,27234.27943087698
120,27234.27943087698
121,26941.67556369841
122,26941.67556369841
123,26941.67556369841
124,26941.67556369841
125,26837.27208706864
126,26837.27208706864
127,26837.27208706864
128,26493.371896069824
129,26493.371896069824
130,26493.371896069824
131,26493.371896069824
132,26493.371896069824
133,26493.371896069824
134,26493.371896069824
135,26493.371896069824
136,26493.371896069824
137,26406.169649772703
138,26406.169649772703
139,26232.831892645823
140,26232.831892645823
141,26076.053888621595
142,26076.053888621595
143,25911.380559448047
144,25911.380559448047
145,25911.380559448047
146,25911.380559448047
147,25911.380559448047
148,25911.380559448047
149,25871.4748471151
150,25766.667033297883
151,25766.667033297883
152,25545.548289013204
153,25545.548289013204
154,25545.548289013204
155,25388.539499701896
156,25388.539499701896
157,25388.539499701896
158,25388.539499701896
159,25170.39716159869
160,25170.39716159869
161,25170.39716159869
162,25170.39716159869
163,25170.39716159869
164,25170.39716159869
165,25154.381087853068
166,25154.381087853068
167,25154.381087853068
168,25154.381087853068
169,25019.508900359815
170,24887.791485876005
171,24772.245666548166
172,24727.744257757124
173,24727.744257757124
174,24706.10574910782
175,24706.10574910782
176,24706.10574910782
177,24281.967641631283
178,24281.967641631283
179,24281.967641631283
180,24131.499473631793
181,24131.499473631793
182,24131.499473631793
183,24131.499473631793
184,24131.499473631793
185,23847.883848530757
186,23847.883848530757
187,23847.883848530757
188,23847.883848530757
189,23842.880444507187
190,23799.672684616686
191,23799.672684616686
192,23799.672684616686
193,23799.672684616686
194,23718.373153481545
195,23532.20948645449
196,23532.20948645449
197,23532.20948645449
198,23532.20948645449
199,23476.603101876048
200,23212.854488729205
