dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3000,137114.07506367392,137114.07506367392,24.667633100005332,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,16,70,65.6,16,70,26.666666666666668,5,31,0,0,0,,,,,,,,
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3001,128158.16985040353,128158.16985040353,25.341254600003595,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,15,70,65.6,15,70,26.666666666666668,5,32,0,0,0,,,,,,,,
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3002,137573.9033159886,137573.9033159886,26.402651999989757,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,14,70,65.6,14,70,26.666666666666668,5,32,0,0,0,,,,,,,,
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3003,137128.9987344939,137128.9987344939,26.598823700012872,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,16,70,65.6,16,70,26.666666666666668,7,33,0,0,0,,,,,,,,
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3004,134713.91826145715,134713.91826145715,26.533922900009202,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,17,70,65.6,17,70,26.666666666666668,7,31,0,0,0,,,,,,,,
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3005,139599.84786809422,139599.84786809422,26.93357520000427,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,10,70,65.6,10,70,26.666666666666668,4,33,0,0,0,,,,,,,,
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3006,137271.9135180061,137271.9135180061,27.52858269997523,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,17,70,65.6,17,70,26.666666666666668,8,33,0,0,0,,,,,,,,
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3008,139130.14095524538,139130.14095524538,29.13151310000103,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,14,70,65.6,14,70,26.666666666666668,4,36,0,0,0,,,,,,,,
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3007,134101.00905515326,134101.00905515326,29.744112799991854,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,21,70,65.6,21,70,26.666666666666668,9,33,0,0,0,,,,,,,,
XML400_1142_01_merged_with_boxes_norm,XML400_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML400_1142_01_merged_with_boxes_norm.json,400,1142,baseline_a,3009,138661.1757365394,138661.1757365394,30.061559699999634,0.0,0,0,0.0,984,0,0.0,0.0,0.0,0.0,0.0,0.0,984,15,0.0,0.0,0.0,65.6,16,70,65.6,16,70,26.666666666666668,7,32,0,0,0,,,,,,,,
