dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3000,37916.58810443884,37916.58810443884,6.26571249999688,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,24,70,62.0,24,70,25.0,9,32,0,0,0,,,,,,,,
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3001,40578.02741047523,40578.02741047523,7.045610700006364,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,26,70,62.0,26,70,25.0,12,31,0,0,0,,,,,,,,
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3002,39872.921432140894,39872.921432140894,7.820764800009783,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,24,70,62.0,24,70,25.0,11,33,0,0,0,,,,,,,,
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3003,39635.919340573455,39635.919340573455,7.978596200002357,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,25,70,62.0,25,70,25.0,10,32,0,0,0,,,,,,,,
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3004,38893.197513225416,38893.197513225416,8.258302700007334,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,25,70,62.0,25,70,25.0,9,31,0,0,0,,,,,,,,
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3005,40510.83862484853,40510.83862484853,9.80722080002306,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,24,70,62.0,24,70,25.0,10,30,0,0,0,,,,,,,,
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3006,39369.14559175868,39369.14559175868,10.598806300025899,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,24,70,62.0,24,70,25.0,9,31,0,0,0,,,,,,,,
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3007,39114.23693890764,39114.23693890764,10.676161199982744,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,24,70,62.0,24,70,25.0,9,30,0,0,0,,,,,,,,
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3008,39453.99771942833,39453.99771942833,10.876853199995821,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,26,70,62.0,26,70,25.0,11,30,0,0,0,,,,,,,,
XML150_1111_01_merged_with_boxes_norm,XML150_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML150_1111_01_merged_with_boxes_norm.json,150,1111,baseline_a,3009,40159.44159407088,40159.44159407088,10.917784499994013,0.0,0,0,0.0,372,0,0.0,0.0,0.0,0.0,0.0,0.0,372,6,0.0,0.0,0.0,62.0,24,70,62.0,24,70,25.0,9,33,0,0,0,,,,,,,,
